"ID","Reference_Name","Citation_Description"
"1257","Alderdice, D.F. and C.R. Forrester. 1968.","Some effects of salinity and temperature on early development and survival of the English sole (Parophrys vetulus). Journal of the Fishery Research Board of Canada 25(3):495-521."
"1258","Alderdice, D.F. and C.R. Forrester. 1971.","Effects of salinity and temperature on embryonic development of the petrale sole (Eopsetta jordani). Fishery Research Board of Canada Progress Report 28:727-744."
"1259","Alevizon 1975","Author was cited in Cailliet et al. 2000 but the full citation was missing."
"1260","Alevizon, W.S. 1975a.","Comparative feeding ecology of a kelp-bed embiotocid (Embiotoca lateralis). Copeia 1975(4):608-615."
"1261","Alevizon, W.S. 1975b.","Spatial overlap and competition in congeneric surfperches (Embiotocidae) off Santa Barbara, California. Copeia 1975(2):352-356."
"1262","Allen, L.G. and M.P. Franklin. 1988.","Distribution and abundance of young-of-the-year white seabass, Atractoscion nobilis, in the vicinity of Long Beach Harbor, California in 1984-1987. Proceedings of the 7th Symposium of Marine Biology, p 39-43."
"1263","Allen, L.G. and M.P. Franklin. 1992.","Abundance, distribution, and settlement of young-of-the-year white seabass Atractoscion nobilis in the Southern California Bight. Fishery Bulletin 90(4):633-641."
"1264","Allen, B.M. 1916.","Notes on the spiny lobster (Panulirus interruptus) of the California coast. University of California Publications in Zoology 16(12):139-152."
"1265","Allen, L.G. 1985.","A habitat analysis of the nearshore marine fishes from southern California. Bulletin of the Southern California Academy of Sciences 84(3):133-155."
"1266","Allen, L.G. 1988.","Recruitment, distribution, and feeding habits of young-of-the year California halibut (Paralichthys californicus) in the vicinity of Alamitos Bay-Long Beach Harbor, California, 1983-1985. Bulletin of the Southern California Academy of Science 87(1):19-30."
"1267","Allen, M.J. 1990.","The biological environment of the California halibut, Paralichthys californicus. California Department of Fish and Game, Fish Bulletin 174:7-30."
"1268","Allen, M.J. and K.T. Herbinson. 1990.","Settlement of juvenile California halibut, Paralichthys californicus along the coasts of Los Angeles, Orange, and San Diego counties in 1989. California Cooperative Oceanic Fisheries Investigations Reports 31:84-95."
"1269","Allen, L.G. and M.H. Horn. 1975.","Abundance, diversity and seasonality of fishes in Colorado Lagoon, Alamitos Bay, California. Estuarine and Coastal Marine Science 3:371-380."
"1270","Allen, G.R. and D.R. Robertson. 1994.","Fishes of the tropical eastern Pacific. Crawford House Press, Bathurst. 332 p."
"1271","Allen, M.J. and G.B. Smith. 1988.","Atlas and zoogeography of common fishes in the Bering Sea and northeastern Pacific. NOAA Technical Report NMFS 66."
"1272","Allen, L.G., T.E. Hovey, M.S. Love, and J.T.W. Smith. 1995.","The life history of the spotted sand bass (Paralabrax maculatofasciatus) within the southern California bight. California Cooperative Oceanic Fisheries Investigations Reports 36:193-203."
"1273","Allen, L.G. 1982.","Seasonal abundance, composition, and productivity of the littoral fish assemblage in upper Newport Bay, California. Fishery Bulletin 80(4):769-790."
"1274","Allen, M.J. 1982.","Functional structure of soft-bottom fish communities of the southern California shelf. Ph.D. Thesis, Scripps Institute of Oceanography, University of California San Diego. 577 p."
"1275","Ally, J.R.R. and K. Miller. 1992.","California barracuda. In: W.S. Leet, C.M. Dewees, and C.W. Haugen (Editors), California's living marine resources and their utilization, p 157-160. California Sea Grant Extension Program, Department of Wildlife and Fisheries Biology, University of California, Davis, California Sea Grant Extension Publication UCSGEP-92-12."
"1276","Alvarado-Villamar, M.d.l.R. and G. Ruiz-Campos. 1992.","Comparative study of the degree of incidence of macroparasites in six species of Sebastes (Pisces, Scorpaenidae) from the northwestern coast of Baja California, Mexico. Ciencias Marinas 18(1):79-92."
"1277","Alverson, D.L. 1957.","Results from tagging experiments on a spawning stock of petrale sole, Eopsetta jordani (Lockington). Journal of the Fisheries Board of Canada 14(6):953-974."
"1278","Alverson, D.L. and M.E. Stansby. 1963.","The spiny dogfish (Squalus acanthias) in the northeastern Pacific. U.S. Fish and Wildlife Service Special Scientific Report--Fisheries No.447, 25 p."
"1279","Ambrose, D.A. 1976.","The distribution, abundance, and feeding ecology of four species of flatfish in the vicinity of Elkhorn Slough, California. M.A. Thesis, San Jose State University. 118 p."
"1280","Ambrose, D.A. 1996.","Cottidae: Sculpins. In: H.G. Moser (Editor), The early stages of fishes in the California Current region. California Cooperative Oceanic Fisheries Investigations, Atlas No. 33. p 821-839. Allen Press, Inc., Lawrence, Kansas."
"1281","Anderson, W.W. 1958.","Larval development, growth, and spawning of striped mullet (Mugil cephalus) along the south Atlantic coast of the United States. Fishery Bulletin 144(vol. 58):501-518."
"1282","Anderson, R.D. and C.F. Bryan. 1970.","Age and growth of three surfperches (Embiotocidae) from Humboldt Bay, California. Transactions of the American Fisheries Society (3):475-482."
"1283","Anderson, R.D. and K.K. Chew. 1972.","Preliminary study on the transient species of fish in Big Beef Harbor. Transactions of the American Fisheries Society (4):726-729."
"1284","Anderson 1968","Author was cited in Cailliet et al. 2000 but the full citation was missing."
"1285","Anderson, R.D. 1969.","Age and growth of three surfperches (family Embiotocidae) from Arcata Bay, California. M.S. Thesis, Humboldt State University. 69 p."
"1286","Anderson, T.W. 1983.","Identification and development of nearshore juvenile rockfishes (Genus Sebastes) in central Califronia kelp forests. M.A. Thesis, California State University Fresno. 216 p."
"1287","Anderson et al. 1969","Author was cited in Cailliet et al. 2000 but the full citation was missing."
"1288","Anonymous. 1954.","A record tagged lingcod. Fisheries Research Board of Canada, Progress Reports of the Pacific Coast Stations 100:19."
"1289","Antonelis Jr., G.A. and C.H. Fiscus. 1980.","The pinnipeds of the California Current. California Cooperative Oceanic Fisheries Investigations Reports 21:68-78."
"1290","Antrim, B.S. 1981.","Habitat and food resource utilization of three species of embiotocids in Elkhorn Slough, Monterey Bay, California. M.S. Thesis, California State University Fresno. 86 p."
"1291","Appelbaum, S., W.C. Clarke, J.E. Shelbourn, J.O.T. Jensen, J.N.C. Whyte, and G.K. Iwama. 1995.","Studies on rearing of lingcod Ophiodon elongatus. Aquaculture 135 (1995):219-227."
"1292","Arai, H.P. 1969.","Preliminary report on the parasites of certain marine fishes of British Columbia. Journal of the Fisheries Research Board of Canada 26(9):2319-2337."
"1293","Arai, H.P. 1962.","Trematodos digeneos de peces marinos de Baja California, Mexico. Anales del Instituto de Biologia, Universidad Nacional Autonoma Mexico 33:113-130."
"1294","Arai, H.P. 1967.","Ecological specificity of parasites of some embiotocid fishes. Journal of the Fisheries Research Board of Canada 24(10):2161-2168."
"1295","Archibald, C.P., W. Shaw, and B.M. Leaman. 1981.","Growth and mortality estimates of rockfishes (Scorpaenidae) from B.C. coastal waters. 1977-1979. Canadian Technical Report of Fisheries and Aquatic Sciences No. 1048, 61 p."
"1296","Armitage, M. 1997.","The euryhaline cottid fish, Leptocottus armatus Girard 1854, second intermediate host of the Trematode, Ascoctyle (Phagicola) diminuta Stunkard and Haviland 1924. Bulletin of the Southern California Academy of Sciences 96(3):112-116."
"1297","Armstrong, J.L. 1991.","Food habits of staghorn sculpin, Leptocottus armatus, and their rold as predators of juvenile Dungeness crab, Cancer magister, in the Grays Harbor estuary, Washington. M.S. Thesis, University of Washington, Washington. 92 p."
"1298","Armstrong, J.L., D.A. Armstrong, and S.B. Mathews. 1995.","Food habits of estuarine staghorn sculpin, Leptocottus armatus, with focus on consumption of juvenile Dungeness crab, Cancer magister. Fishery Bulletin 93:456-470."
"1299","Arnold, E.L. and J.R. Thomson. 1958.","Offshore spawning of the striped mullet, Mugil cephalus, in the Gulf of Mexico. Copeia 1958(2):130-132."
"1300","Arora, H.L. 1948.","Observations on the habits and early life history of the batrachoid fish, Porichthys notatus Girard. Copeia 1948(2):89-93."
"1301","Arora, H.L. 1951.","An investigation of the California sanddab, Citharichthys sordidus. California Department of Fish and Game 37:3-42."
"1302","Au, D.W. and S.E. Smith. 1997.","A demographic method with population density compensation for estimating productivity and yield per recruit of the leopard shark (Triakis semifasciata). Canadian Journal of Fisheries and Aquatic Science 54:415-420."
"1303","Babel, J.S. 1967.","Reproduction, life history, and ecology of the round stingray, Urolophus halleri Cooper. California Department of Fish and Game, Fish Bulletin 137,104 p."
"1304","Badkin, R.","Food habits of two size groups of the big skate (Raja binoculata) occurring off the central California coast. Unpublished Manuscript, Southhampton College, Southhampton, New York."
"1305","Baltz, D.M. 1976.","Food habits and food niche overlap of piscivorous marine birds wintering on Monterey Bay, California. M.A. Thesis, San Jose State University. 75 p."
"1306","Baltz, D.M. 1984.","Life history variation among female surfperches (Perciformes: Embiotocidae). Environmental Biology of Fishes 10(3):159-171."
"1307","Bane, G.W. 1970.","Studies on the shiner perch, Cymatogaster aggregata Gibbons, in upper Newport Bay. The Wasmann Journal of Biology 28(2):22-25."
"1308","Banerjee, T. 1971.","Maturity and fecundity of the white seaperch (Phanerodon furcatus) from Tomales Bay, California. Journal of the Fisheries Research Board of Canada 28:1051-1053."
"1309","Bargmann, G.G. 1982.","The biology and fisheries for lingcod (Ophiodon elongatus) in Puget Sound. Washington Department of Fisheries Technical Report No. 66. 69 p."
"1310","Barker, M.W. 1979.","Population and fishery dynamics of recreationally exploited marine bottomfishes of northern Puget Sound. Ph.D. Thesis, University of Washington. 135 p."
"1311","Barlow, G.W. 1963.","Species structure of the Gobiid fish Gillichthys mirabilis from coastal sloughs of the eastern Pacific. Pacific Science XVII(1):47-72."
"1312","Barnett, A.M., A.E. Jahn, P.D. Sertic, and W. Watson. 1984.","Distribution of ichthyoplankton off San Onofre, California, and methods for sampling very shallow coastal waters. Fishery Bulletin 82(1):97-111."
"1313","Barnhart, P.S. 1932.","Notes on the habits, eggs, and young of some fishes of southern California. Bulletin of the Scripps Institution of Oceanography, Technical Series 3(4):87-99."
"1314","Barraclough, W.E. 1964.","Contribution to the marine life history of the Eulachon Thaleichthys pacificus. Journal of the Fisheries Board of Canada 21(5):1333-1337."
"1315","Barraclough, W.E. 1967a.","Data record. Number, size and food of larval and juvenile fish caught with a two boat surface trawl in the Strait of Georgia April 25-29, 1966. Fisheries Research Board of Canada Manuscript Report Series No. 922, 54 p."
"1316","Barraclough, W.E. 1967b.","Data record. Number, size and food of larval and juvenile fish caught with an Isaacs-Kidd trawl in the surface waters of the Strait of Georgia April 25-29, 1966. Fisheries Research Board of Canada Manuscript Report Series No. 926, 79 p."
"1317","Barraclough, W.E. 1967c.","Data record. Number, size composition and food of larval and juvenile fish caught with a two-boat surface trawl in the Strait of Georgia June 6-8, 1966. Fisheries Research Board of Canada Manuscript Report Series No. 928, 58 p."
"1318","Barraclough, W.E. and J.D. Fulton. 1968.","Data record. Food of larval and juvenile fish caught with a surface trawl in Saanich Inlet during June and July 1966. Fisheries Research Board of Canada Manuscript Report Series No. 1003, 78 p."
"1319","Barraclough, W.E., D.G. Robinson, and J.D. Fulton. 1968.","Data Record. Number, size composition, weight and food of larval and juvenile fish caught with a two-boat surface trawl in the Saanich Inlet April 23-July 21, 1968. Fisheries Research Board of Canada Manuscript Report Series No. 1004, 305 p."
"1320","Barry, J.P. and M.J. Ehret. 1993.","Diet, food preference, and algal availability for fishes and crabs on intertidal reef communities in southern California. Environmental Biology of Fishes 37:75-95."
"1321","Barry, J.P. 1988.","Pattern and process: Patch dynamics in a rocky intertidal community in southern California. Ph.D. Thesis, University of California, San Diego. 335 p."
"1322","Barry, J.P., M.M. Yoklavich, G.M. Cailliet, D.A. Ambrose, and B.S. Antrim. 1996.","Trophic ecology of the dominant fishes in Elkhorn Slough, California, 1974-1980. Estuaries 19(1):115-138."
"1323","Barss, W.H. 1989.","Maturity and reproductive cycle for 35 species from the family Scorpaenidae found off Oregon. Portland, OR: Oregon Department of Fish and Game. Report No. 89-7. 36 p."
"1324","Barss, W.H. and R.L. Demory. 1989.","Movement of lingcod tagged off the central Oregon coast. Oregon Department of Fish and Wildlife, Information Report 89-8, 12 p."
"1325","Barss, W.H., S.L. Johnson, and R.L. Demory. 1982.","Biological studies on rockfish and associated species from Heceta Bank off Oregon, 1980-81. Oregon Department of Fish and Wildlife, Completion Report, Project No. 1-151-R2, 28 p."
"1326","Barsukov, V.V. 1972.","The Wolffish (Anarhichadidae). I.N.S.D. Center, translator. Indian National Scientific Documentation Center, New Delhi. 292 p."
"1327","Bartley & Kent 1990","Author was cited in Cailliet et al. 2000 but the full citation was missing."
"1328","Bartley, D.M., D.B. Kent, and M.A. Drawbridge. 1995.","Conservation of genetic diversity in a white seabass hatchery enhancement program in southern California. American Fisheries Society Symposium 15:249-258."
"1329","Barton 1973","Author was cited in Cailliet et al. 2000 but the full citation was missing."
"1330","Barton, M.G. 1982.","Intertidal vertical distribution and diets of five species of central California stichaeoid fishes. California Department of Fish and Game 68(3):174-182."
"1331","Baxter, J.L. and R.D. Collyer. 1960.","Results of tagging experiments. In: J.L. Baxter (Editor), A study of the yellowtail Seriola dorsalis (Gill), California Department of Fish and Game, Fish Bulletin 110:52-77."
"1332","Baxter, J.L. 1960b.","Yellowtail. In: California ocean fisheries resources to the year 1960, p 75-76. California Department of Fish and Game. 79 p."
"1333","Baxter, R. 1999a.","Brown rockfish. In: J. Orsi (Editor), Report on the 1980-1995 fish, shrimp, and crab sampling in the San Francisco Estuary, California, p 443-452. California Department of Fish and Game, Technical Report No. 63."
"1334","Baxter, R. 1999b.","Osmeridae. In: J. Orsi (Editor), Report on the 1980-1995 fish, shrimp, and crab sampling in the San Francisco Estuary, California, p 179-215. California Department of Fish and Game, Technical Report No. 63."
"1335","Baxter, R. 1999c.","Plainfin Midshipman. In: J. Orsi (Editor), Report on the 1980-1995 fish, shrimp, and crab sampling in the San Francisco Estuary, California, p 469-476. California Department of Fish and Game, Technical Report No. 63."
"1336","Baxter, R. 1999d.","Pleuronectiformes. In: J. Orsi (Editor), Report on the 1980-1995 Fish, Shrimp, and Crab Sampling in the San Francisco Estuary, California, p 369-441. California Department of Fish and Game, Technical Report No. 63."
"1337","Bayer, R.D. 1980.","Size, seasonality, and sex ratios of the bay pipefish (Sygnathus leptorhynchus) in Oregon. Northwest Science 54(3):161-167."
"1338","Bayer, R.D. 1985.","Shiner perch and Pacific staghorn sculpins in Yaquina Estuary, Oregon. Northwest Science 59(3):230-240."
"1339","Beamish, R.J. and D. Chilton. 1977.","Age determination of lingcod (Ophiodon elongatus) using dorsal fin rays and scales. Journal of the Fisheries Research Board of Canada 34:1305-1313."
"1340","Beamish, R.J. and G.A. McFarlane. 1985.","Annulus development on the second dorsal spine of the spiny dogfish (Squalus acanthias) and its validity for age determination. Canadian Journal of Fisheries and Aquatic Science 42(11):1799-1805."
"1341","Beamish, R.J. and M.S. Smith. 1976.","A preliminary report on the distribution, abundance, and biology of juvenile spiny dogfish (Squalus acanthias) in the Strait of Georgia and their relationship with other fishes. Fisheries and Marine Service Research Division Technical Report 629, 44 p."
"1342","Beamish, R.J., K.R. Weir, J.R. Scarsbrook, and M.S. Smith. 1978.","Growth of young Pacific hake, walleye Pollack, Pacific cod and lingcod in Stuart Channel, British Columbia in 1976. Fisheries and Marine Service Manuscript Report No. 1518, 111 p."
"1343","Beardsley, A.J. 1969.","Movement and angler use of four foodfishes in Yaquina Bay, Oregon. Ph.D. Thesis, Oregon State University. 173 p."
"1344","Beardsley 1981","Author was cited in Cailliet et al. 2000 but the full citation was missing."
"1345","Becker, D.S. 1984.","Resource partitioning by small-mouthed plueronectids in Puget Sound, Washington. Ph.D. Thesis, University of Washington. 139 p."
"1346","Becker, D.S. 1988.","Relationship between sediment character and sex segregation in English sole, Parophrys vetulus. Fishery Bulletin 86(3):517-524."
"1347","Becker, D.S. and K.K. Chew. 1987.","Predation on Capitella spp. by small-mouthed Pleuronectids in Puget Sound, Washington. Fishery Bulletin 85(3):471-478."
"1348","Beckwitt, R. 1983.","Genetic structure Genyonemus lineatus, Seriphus politus (Sciaenidae) and Paralabrax clathratus. Copeia 3(1983):691-696."
"1349","Bedford, D.W. 1987.","Pacific angel shark management information document. Unpublished manuscript. 49 p."
"1350","Behrens, D.W. and M.J. Behrens. 1973.","Livebearing surfperches. Pacific Discovery 26(6):1-8."
"1351","Behrens, D.W. 1977.","Fecundity and reproduction of the viviparous perches Hypsurus caryi (Agassiz) and Embiotoca jacksoni Agassiz. California Department of Fish and Game 63(4):234-252."
"1352","Behrents, K.C. 1983.","The comparative ecology and interactions between two sympatric gobies (Lythrypnus dalli and Lythrypnus zebra). Ph.D. Thesis, University of Southern California. 323 p."
"1353","Behrents, K.C. 1987.","The influence of shelter availability on recruitment and early juvenile survivorship of Lythrypnus dalli Gilbert. Journal of Experimental Marine Biology and Ecology 107:45-59."
"1354","Bell, G.R. 1961.","Penetration of spines from a marine diatom into the gill tissue of lingcod (Ophiodon elongatus). Nature 192(4799):279-280."
"1355","Bell, G.R. 1962.","Notes: Tricodinids from the gills of a new host, the lingcod Ophiodon elongatus. Journal of the Fisheries Research Board of Canada 19(3):515-516."
"1356","Bennett, D.E. and R.S. Wydoski. 1977.","Biology of the redtail surfperch (Amphistichus rhodoterus) from the central Oregon coast. Technical papers of the U.S. Fish and Wildlife Service 90:1-23."
"1357","Bennett, T. 1993.","Resource partitioning of two fish ectoparasites, Lironeca vulgaris and Lironeca californica (Class Isopoda, Family Cymothoidae). M.S. Thesis, San Jose State University. 46 p."
"1358","Benson, B. 1984.","Larval hatching and rearing. In: R. Buckley, G. Hueckel, B. Benson, S. Quinnell, and M. Canfield (Staff), Enhancement Research on lingcod (Ophiodon elongatus) in Puget Sound, p 55-75. State of Washington, Department of Fisheries, Progress Report No. 216."
"1359","Benz, G.W., R.L. Otting, and A. Case. 1995.","Redescription of Argulus melanostictus (Branchiura:Argulidae), a parasite of California grunion (Leuresthes tenuis:Atherinidae), with notes regarding chemical control of A. melanostictus in a captive host population. Journal of Parasitology 81(5):754-761."
"1360","Berland, B. 1983.","Redescription of Cucullanus elongatus Smedley, 1933 (Nematoda: Seuratoidea) from the lingcod Ophiodon elongatus Girard, 1854 from the Pacific coast of Canada. Canadian Journal of Zoology 61:385-395."
"1361","Bernardi, G. 2000.","Barriers to gene flow in Embiotoca jacksoni, a marine fish lacking a pelagic larval stage. Evolution 54(1):226-237."
"1362","Bernstein, B.B. and N. Jung. 1979.","Selective pressures and coevolution in a kelp canopy community in southern California. Ecological Monographs 49(3):335-355."
"1363","Best, E.A. 1960.","Petrale Sole. In: California ocean fisheries resources to the year 1960, p 58-60. California Department of Fish and Game. 79 p."
"1364","Best, E.A. 1963.","Movements of petrale sole, Eopsetta jordani, tagged off of California. Pacific Marine Fisheries Commission Bulletin 6:24-38."
"1365","Best, E.A. 1964.","Spawning of longspine channel rockfish, Sebastolobus alitivelis Gilbert. California Department of Fish and Game 50(4):265-267."
"1366","Birtwell, I.K., Wood, M., Gordon, D.K. 1984.","Fish diets and benthic invertebrates in the estuary of the Somass River, Port Alberni, British Columbia. Canadian Manuscript Report of Fisheries and Aquatic Sciences No. 1799. 49 p."
"1367","Blake, J.H. 1869.","On the anal fin appendages of embiotocid fishes. Journal of Anatomy and Physiology 3:30-32."
"1368","Blanco, G.J. 1938.","Early life history of the viviparous perch Taeniotoca lateralis Agassiz. The Philippine Journal of Science, Series 4, 67:379-389."
"1369","Bloeser, J.A. 1999.","Diminishing returns: The status of west coast rockfish.: Pacific Marine Conservation Council. 94 p."
"1370","Bodkin, J.L. 1986.","Fish assemblages in Macrocystis and Nereocystis kelp forests off central California. Fishery Bulletin 84(4):799-808."
"1371","Bodkin, J.L. 1988.","Effects of kelp forest removal on associated fish assemblages in central California. Journal of Experimental Marine Biology and Ecology 117:227-238."
"1372","Boehlert, G.W. and R.F. Kappenman. 1980.","Variation of growth with latitude in two species of rockfish (Sebastes pinniger and S. diploproa) from the northeast Pacific Ocean. Marine Ecology Progress Series 3:1-10."
"1373","Boehlert, G.W. and M.M. Yoklavich. 1983.","Effects of temperature, ration, and fish size on the growth of juvenile black rockfish, Sebastes melanops. Environmental Biology of Fishes 8(1):17-28."
"1374","Boehlert, G.W. and M.M. Yoklavich. 1984a.","Reproduction, embryonic energetics and the maternal-fetal relationship in the viviparous genus Sebastes (Pisces: Scorpaenidae). Biol. Bull. mar. biol. Lab, Woods Hole 167:354-370."
"1375","Boehlert, G.W. and M.M. Yoklavich. 1984b.","Variability in age estimates in Sebastes as a function of methodology, different readers, and different laboratories. California Department of Fish and Game 70(4):210-224."
"1376","Boehlert, G.W. and M.M. Yoklavich. 1986.","Long-term cycles of growth in Sebastes: Extracting information from otoliths). In: Proceedings of the International Rockfish Symposium, Lowell Wakefield Fisheries Symposium, Anchorage, Alaska, USA, October 20-22, 1986. Alaska Sea Grant Report, No. 87-2, p 197-207."
"1377","Boehlert, G.W. 1980.","Size composition, age composition, and growth of canary rockfish, Sebastes pinniger, and splitnose rockfish, S. diploproa, from the 1977 rockfish survey. Marine Fisheries Review 42(3-4):57-63."
"1378","Boehlert, G.W. and B.C. Mundy. 1987.","Recruitment dynamics of metamorphosing English sole, Parophrys vetulus, to Yaquina Bay, Oregon. Estuarine, Coastal and Shelf Science 25:261-281."
"1379","Boettcher, A.A. and N.M. Targett. 1993.","Role of polyphenolic molecular size in reduction of assimilation efficiency in Xiphister mucosus. Ecology 74(3):891-903."
"1380","Bolin, R.L. 1930.","Embryonic development of the labrid fish Oxyjulis californicus Gunther. Copeia 1930(4):122-128."
"1381","Bond, C.E. 1985.","Northward occurrence of the opaleye Girella nigricans, and the sharpnose seaperch, Phanerodon atripes. California Department of Fish and Game 71(1):56-57."
"1382","Bonham, K. 1954.","Food of the dogfish Squalus acanthias. Washington Department of Fisheries, Fisheries Research Paper 1(2):25-36."
"1383","Boothe, P. 1967.","Food and feeding habits of four species of San Francisco Bay fish. California Department of Fish and Game, Marine Resources Operations Reference Series No. 67-13, 155 p."
"1384","Borton, S.F. 1982.","A structural comparison of fish assembalges from eelgrass and sand habitats at Alki Point, Washington. M.S. Thesis, University of Washington. 85 p."
"1385","Brantley, R.K. and A.H. Bass. 1994.","Alternative male spawning tactics and acoustic signals in the plainfin midshipman fish Porichthys notatus Girard (Teleostei, Batrachoididae). Ethology 96:213-232."
"1386","Bravo-Hollis, M. 1956.","Trematodos de peces marinos de aguas Mexicanas. XI. Estudio de 17 digeneos de las costas del Pacifico, incluyendo seis especies nuevas y un genero nuevo. Anales del Instituto de Biologia, Universidad Nacional Autonoma de Mexico 27:245-277."
"1387","Bravo-Hollis, M. 1985.","Helminths from the Mexican Pacific, 41. A new species from genus Polynemicola. Anales del Instituto de Biologia, Universidad Nacional Autonoma de Mexico. Serie zoological. Mexico City. 56(2):277-290. [In Spanish]"
"1388","Bray, R.N. and A.W. Ebeling. 1975.","Food, activity, and habitat of three ""picker-type"" microcarnivorous fishes in the kelp forests off Santa Barbara, California. Fishery Bulletin 73(4):815-829."
"1389","Bray, R.N. and M.A. Hixon. 1978.","Night-shocker: Predatory behavior of the Pacific electric ray (Torpedo californica). Science 200:333-334."
"1390","Bray, R.N. 1978.","Daily foraging migrations of the blacksmith (Chromis punctipinnis), a planktivorous kelp-bed fish. Ph.D. Thesis, University of California, Santa Barbara. 121 p."
"1391","Bray, R.N. 1981.","Influence of water currents and zooplankton densities on saily foraging movements of blacksmith, Chromis punctipinnis, a planktivorous reef fish. Fishery Bulletin 78(4):829-841."
"1392","Bray, R.N., A.C. Miller, and G.G. Geesey. 1981.","The fish connection: A trophic link between planktonic and rocky reef communities. Science 214:204-205."
"1393","Bray, R.N., L.J. Purcell, and A.C. Miller. 1986.","Ammonium excreton in a temperate-reef community by a planktivorous fish, Chromis punctipinnis (Pomacentridae), and potential uptake by young giant kelp, Mycrocystis pyrifera (Laminariales). Marine Biology 90:327-334."
"1394","Breder, C.M. and D.E. Rosen. 1966.","Modes of Reproduction in Fishes. Natural History Press, New York. 941 p."
"1395","Breder, C.M. 1940.","The spawning of Mugil cephalus on the Florida west coast. Copeia 1940(2):138-139."
"1396","Brett, J.R. 1979.","Some morphological and behavioural adaptations of pile perch (Racochilus vacca) feeding on mussels (Mytilus edulis). Canadian Journal of Zoology 57:658-664."
